year,month,day,exec_order_no,usc_title,usc_section,status
2008,,29,13457,31,1301 nt,
2008,Feb.,4,13458,22,8101 nt,
2008,,7,13459,42,12301 nt,
2008,,13,13460,50,1701 nt,
2008,,15,13461,5,3345 nt,
2008,,29,13462,50,3001 nt,
2008,Apr.,30,13464,50,1701 nt,Elim.
2008,June,6,13465,8,1324a nt,
2008,,26,13466,50,1701 nt,
2008,,30,13467,50,3161 nt,
2008,July,25,13469,50,1701 nt,
2008,,30,13470,50,3001 nt,
2008,,,,50,3036 nt,Elim.
2008,,,,50,3056 nt,Elim.
2008,Aug.,28,13471,42,12651 nt,
2008,Sept.,11,13472,5,3345 nt,
2008,,25,13473,5,3301 nt,
2008,,26,13474,16,1801 nt,
2008,Oct.,7,13475,50,1802 nt,
2008,,,,50,1822 nt,
2008,,31,13477,28,1605A nt,
2008,Nov.,18,13478,5,552a nt,
2008,,,13479,49,40101 nt,
2008,,26,13480,5,7103 nt,
2008,Dec.,9,13481,5,3345 nt,Elim.
2008,,18,13483,5,5332 nt,Elim.
2009,Jan.,9,13484,5,3345 nt,Elim.
2009,,,13485,5,3345 nt,
2009,,16,13488,5,7301 nt,
2009,,21,13489,44,2204 nt,
2009,,,13490,5,7301 nt,Elim.
2009,,22,13491,42,2000dd nt,
2009,,,13492,10,801 nt,
2009,,30,13494,41,4304 nt,
2009,,,13495,41,6703 nt,
2009,,,13496,41,nt. prec. 3901,
2009,,,13497,5,601 nt,
2009,Feb.,5,13498,3,nt. prec. 101,Elim.
2009,,,13499,15,1023 nt,
2009,,,13500,3,nt. prec. 101,
2009,,6,13501,12,5201 nt,Elim.
2009,,,13502,41,nt. prec. 3901,
2009,,19,13503,3,nt. prec. 101,
2009,Mar.,9,13505,42,241 nt,
2009,,11,13506,42,2000e nt,
2009,Apr.,8,13507,42,201 nt,Elim.
2009,May,12,13508,33,1267 nt,
2009,June,23,13509,3,nt. prec. 101,Elim.
2009,July,1,13510,19,2432 nt,
2009,Sept.,29,13511,5,1013 nt,Elim.
2009,Oct.,1,13513,23,402 nt,
2009,,5,13514,42,4321 nt,Elim.
2009,,14,13515,15,1501 nt,Elim.
2009,,28,13516,50,3001 nt,
2009,,30,13517,41,256 nt,
2009,,,,48,731 nt,
2009,Nov.,9,13518,5,3301 nt,
2009,,17,13519,28,509 nt,Elim.
2009,,20,13520,31,3321 nt,
2009,,24,13521,42,6601 nt,
2009,Dec.,9,13522,5,7101 nt,Elim.
2009,,16,13524,22,288 nt,
2009,,23,13525,5,5332 nt,Elim.
2009,,29,13526,50,3161 nt,
2009,,30,13527,42,300hh-1 nt,
2010,Jan.,11,13528,32,104 nt,
2010,,16,13529,10,12304 nt,
2010,,29,13530,20,9701 nt,
2010,Feb.,26,13532,20,1060 nt,Elim.
2010,Mar.,1,13533,5,3345 nt,Elim.
2010,,11,13534,15,4727 nt,
2010,,24,13535,42,18023 nt,
2010,Apr.,12,13536,50,1701 nt,
2010,,14,13537,48,nt. prec. 1451,
2010,,19,13538,40,301 nt,
2010,,21,13539,42,6601 nt,Elim.
2010,,26,13540,15,657b nt,
2010,May,13,13542,5,3345 nt,Elim.
2010,June,10,13544,42,300u-10 nt,
2010,,22,13545,42,300u nt,
2010,July,2,13546,42,262a nt,
2010,,19,13547,33,857-19 nt,Elim.
2010,,26,13548,29,791 nt,
2010,Aug.,18,13549,50,3161 nt,
2010,,30,13551,50,1701 nt,
2010,Sept.,28,13553,50,1701 nt,
2010,Oct.,5,13554,16,1451 nt,Elim.
2010,,19,13555,20,3411 nt,Elim.
2010,Nov.,4,13556,44,3501 nt,
2010,,,13557,5,3345 nt,Elim.
2010,,9,13558,50,4601 nt,
2010,,17,13559,5,601 nt,
2010,Dec.,14,13560,42,12653 nt,Elim.
2010,,22,13561,5,5332 nt,Elim.
2010,,27,13562,5,3301 nt,
2011,Jan.,18,13563,5,601 nt,
2011,,31,13564,12,5201 nt,
2011,Feb.,8,13565,15,8111 nt,
2011,,25,13566,50,1701 nt,
2011,Mar.,7,13567,10,801 nt,
2011,,8,13568,22,288 nt,
2011,Apr.,5,13569,3,nt. prec. 101,
2011,,18,13570,50,1701 nt,
2011,,27,13571,31,501 nt,
2011,,29,13572,50,1701 nt,
2011,May,18,13573,50,1701 nt,
2011,,23,13574,50,1701 nt,Elim.
2011,June,9,13575,7,2204b nt,Elim.
2011,,13,13576,31,501 nt,
2011,,15,13577,15,1512 nt,
2011,July,6,13578,29,551 nt,
2011,,11,13579,5,601 nt,
2011,,12,13580,16,nt. prec. 3101,
2011,,24,13581,50,1701 nt,
2011,Aug.,17,13582,50,1701 nt,
2011,,18,13583,42,2000e nt,
2011,Sept.,9,13584,22,2656 nt,Elim.
2011,,30,13585,5,1013 nt,Elim.
2011,Oct.,7,13587,50,3161 nt,
2011,,31,13588,21,356c nt,
2011,Nov.,20,13590,50,1701 nt,Elim.
2011,,23,13591,5,1013 nt,Elim.
2011,Dec.,2,13592,20,7401 nt,Elim.
2011,,19,13594,5,5332 nt,Elim.
2011,,,13595,22,2151 nt,
2011,,,13596,42,6601 nt,
2011,,,,50,4601 nt,
2012,Jan.,19,13597,22,2121 nt,
2012,,27,13598,3,301 nt,
2012,Feb.,5,13599,50,1701 nt,
2012,,9,13600,22,2151 nt,
2012,,28,13601,19,2171 nt,
2012,Mar.,15,13602,42,3532 nt,Elim.
2012,,16,13603,50,4553 nt,
2012,,22,13604,5,601 nt,
2012,Apr.,13,13605,42,16371 nt,
2012,,22,13606,50,1701 nts,
2012,,27,13607,38,3301 nt,
2012,May,1,13608,50,1701 nts,
2012,,,13609,5,601 nt,
2012,,10,13610,5,601 nt,
2012,,16,13611,50,1701 nt,
2012,,21,13612,5,3345 nt,
2012,,,13613,5,3345 nt,
2012,,,13614,5,3345 nt,Elim.
2012,,,13615,5,3345 nt,
2012,June,14,13616,47,1301 nt,
2012,,25,13617,50,1701 nt,Elim.
2012,July,6,13618,42,5195 nt,
2012,,11,13619,50,1701 nt,Elim.
2012,,20,13620,50,1701 nt,
2012,,26,13621,20,3411 nt,Elim.
2012,,30,13622,50,1701 nt,Elim.
2012,Aug.,10,13623,22,2151 nt,
2012,,30,13624,42,6341 nt,
2012,,31,13625,10,1071 nt,
2012,Sept.,10,13626,33,1321 nt,
2012,,25,13627,41,3101 nt,
2012,Oct.,9,13628,50,1701 nt,Elim.
2012,,26,13629,6,361 nt,
2012,Dec.,6,13630,15,4727 nt,
2012,,7,13631,42,300u-10 nt,
2012,,21,13634,20,3411 nt,
2012,,27,13635,5,5332 nt,
2013,Feb.,12,13636,6,121 nt,
2013,Mar.,8,13637,22,2751 nt,
2013,,15,13638,33,1321 nt,
2013,Apr.,5,13640,3,nt. prec. 101,
2013,,,13641,5,5332 nt,
2013,May,9,13642,5,552 nt,
2013,June,3,13645,50,1701 nt,Elim.
2013,,25,13646,20,9701 nt,
2013,,26,13647,25,5301 nt,
2013,July,1,13648,16,1531 nt,
2013,,15,13649,42,300cc-1 nt,
2013,Aug.,1,13650,6,621 nt,
2013,,6,13651,50,1701 nt,Elim.
2013,Sept.,30,13652,5,1013 nt,Elim.
2013,Nov.,1,13653,42,4321 nt,Elim.
2013,Dec.,23,13655,5,5332 nt,Elim.
2014,Jan.,17,13656,22,2381 nt,
2014,Feb.,10,13657,50,3021 nt,
2014,,12,13658,41,nt. prec. 6301,
2014,,19,13659,19,1411 nt,
2014,Mar.,6,13660,50,1701 nt,
2014,,16,13661,50,1701 nt,
2014,,20,13662,50,1701 nt,
2014,Apr.,3,13664,50,1701 nt,
2014,,8,13665,42,2000e nt,
2014,,18,13666,10,nt. prec. 1121,
2014,May,12,13667,50,1701 nt,
2014,,27,13668,50,1701 nt,
2014,July,8,13671,50,1701 nt,
2014,,21,13672,42,2000e nt,
2014,,31,13673,41,3101 nt,Elim.
2014,,,13674,42,264 nt,
2014,Aug.,5,13675,15,4727 nt,
2014,Sept.,18,13676,42,247d-5 nt,
2014,,23,13677,22,2151 nt,
2014,Oct.,3,13678,5,3301 nt,
2014,,16,13680,10,12304 nt,
2014,,17,13681,31,3321 nt,
2014,Dec.,11,13683,41,3101 nt,Elim.
2014,,,,42,4321 nt,
2014,,,,44,1505 nt,
2014,,18,13684,42,nt. prec. 14131,
2014,,19,13685,50,1701 nt,
2014,,,13686,5,5332 nt,Elim.
2015,Jan.,2,13687,50,1701 nt,
2015,,21,13689,15,4101 nt,
2015,,30,13690,42,4321 nt,
2015,Feb.,13,13691,6,121 nt,
2015,Mar.,8,13692,50,1701 nt,
2015,,19,13693,42,4321 nt,Elim.
2015,Apr.,1,13694,50,1701 nt,
2015,May,26,13695,50,1701 nt,
2015,June,22,13697,20,1221 nt,
2015,,24,13698,22,nt. prec. 1741,
2015,,26,13699,42,7385s-16 nt,
2015,July,17,13701,19,4201 nt,
2015,,29,13702,15,5501 nt,
2015,,30,13703,42,300cc-1 nt,
2015,Aug.,17,13704,5,3171 nt,
2015,Sept.,3,13705,22,288 nt,
2015,,7,13706,41,nt. prec. 6301,
2015,,15,13707,5,601 nt,
2015,,30,13708,5,1013 nt,Elim.
2015,Oct.,2,13709,50,3001 nts,
2015,Nov.,12,13710,50,1701 nt,
2015,,22,13712,50,1701 nt,Elim.
2015,Dec.,15,13714,5,3131 nt,
2015,,18,13715,5,5332 nt,Elim.
2016,Jan.,16,13716,22,8801 nt,Elim.
2016,Feb.,2,13717,42,7704 nt,
2016,,9,13719,42,2000ee-2 nt,
2016,,26,13720,19,2466a nt,
2016,Mar.,14,13721,22,2656 nt,
2016,,15,13722,50,1701 nt,
2016,Apr.,8,13724,22,2501 nt,
2016,,15,13725,5,601 nt,
2016,,19,13726,50,1701 nt,
2016,May,18,13728,40,3312 nt,
2016,,,13729,50,3021 nt,
2016,June,24,13731,15,1512 nt,
2016,July,1,13732,50,3001 nt,
2016,,22,13733,19,4421 nt,
2016,Aug.,3,13734,15,4727 nt,
2016,,12,13735,5,3345 nt,
2016,,,13736,5,3345 nt,
2016,,,13737,5,3345 nt,Elim.
2016,,23,13738,41,3101 nt,Elim.
2016,Sept.,14,13739,50,1701 nt,
2016,,29,13741,50,3161 nt,
2016,Oct.,7,13742,50,1701 nt,
2016,,13,13743,5,1101 nt,
2016,,,13744,42,18388 nt,
2016,,31,13745,5,6391 nt,
2016,Nov.,3,13746,22,2293 nt,
2016,,4,13747,50,3021 nt,
2016,,16,13748,5,601 nt,
2016,,29,13749,5,3301 nt,
2016,,,13750,5,3301 nt,
2016,Dec.,5,13751,42,4321 nt,
2016,,8,13752,42,659a nt,
2016,,9,13753,6,111 nt,
2016,,,13754,15,4101 nt,
2016,,23,13755,5,3345 nt,
2016,,27,13756,5,5332 nt,Elim.
2016,,28,13757,50,1701 nt,
2017,Jan.,12,13758,10,1129 nt,
2017,,,13759,22,288 nt,
2017,,,13760,5,7103 nt,
2017,,13,13761,50,1701 nt,
2017,,,13762,5,3345 nt,Elim.
2017,,,13763,5,3345 nt,Elim.
2017,,17,13764,5,3301 nt,
2017,,20,13765,42,18001 nt,Elim.
2017,,24,13766,42,4370m nt,Elim.
2017,,25,13767,8,1103 nt,Elim.
2017,,,13768,8,1103 nt,Elim.
2017,,27,13769,8,1182 nt,Elim.
2017,,28,13770,5,7301 nt,Elim.
2017,,30,13771,5,601 nt,Elim.
2017,Feb.,3,13772,12,5301 nt,Elim.
2017,,9,13773,50,3021 nt,
2017,,,13774,34,nt. prec. 50101,
2017,,,13775,5,3345 nt,Elim.
2017,,,13776,34,nt. prec. 60101,
2017,,24,13777,5,601 nt,Elim.
2017,,28,13779,20,1060 nt,Elim.
2017,Mar.,6,13780,8,1182 nt,Elim.
2017,,27,13782,41,3101 nt,
2017,,28,13783,42,13201 nt,Elim.
2017,,31,13785,19,4301 nt,
2017,,,13787,5,3345 nt,
2017,Apr.,18,13788,41,8301 nt,Elim.
2017,,21,13789,26,7801 nt,
2017,,25,13790,7,2204b nt,
2017,,26,13791,20,1232a nt,
2017,,27,13793,38,301 nt,
2017,,28,13795,43,1331 nt,Elim.
2017,,29,13796,19,4301 nt,
2017,,,13797,15,4727 nt,
2017,May,11,13800,6,nt. prec. 1500,
2017,June,15,13801,29,50 nt,Elim.
2017,,21,13802,22,2121 nt,
2017,,30,13803,51,20111 nt,Elim.
2017,July,11,13804,50,1701 nt,
2017,Aug.,15,13807,42,4370m nt,Elim.
2017,,24,13808,50,1701 nt,
2017,Sept.,20,13810,50,1701 nt,
2017,,29,13811,5,1013 nt,Elim.
2017,,,13812,5,7101 nt,
2017,Oct.,12,13813,42,18001 nt,Elim.
2017,,20,13814,10,12302 nt,
2017,,24,13815,8,1182 nt,Elim.
2017,Dec.,8,13816,12,1752 nt,
2017,,20,13817,30,1601 nt,
2017,,,13818,50,1701 nt,
2017,,22,13819,5,5332 nt,Elim.
2018,Jan.,8,13821,47,1301 nt,
2018,,9,13822,38,1712A nt,
2018,,30,13823,10,801 nt,
2018,Feb.,26,13824,42,300u nt,
2018,Mar.,1,13825,10,801 nt,
2018,,7,13826,34,60501 nt,
2018,,19,13827,50,1701 nt,
2018,Apr.,10,13828,5,601 nt,Elim.
2018,,20,13830,10,nt. prec. 1121,
2018,May,3,13831,3,nt. prec. 101,Elim.
2018,,9,13832,5,3330d nt,
2018,,15,13833,40,11315 nt,
2018,,17,13834,42,4321 nt,Elim.
2018,,21,13835,50,1701 nt,
2018,,25,13836,5,7101 nt,Elim.
2018,,,13837,5,7131 nt,Elim.
2018,,,13838,41,nt. prec. 6301,Elim.
2018,,,13839,5,nt. prec. 7501,Elim.
2018,June,19,13840,33,857-19 nt,
2018,,20,13841,8,1103 nt,Elim.
2018,July,10,13842,5,3301 nt,
2018,,,13843,5,3301 nt,
2018,,11,13844,28,509 nt,
2018,,19,13845,29,3101 nt,Elim.
2018,Aug.,6,13846,50,1701 nt,
2018,,31,13847,29,1001 nt,
2018,Sept.,12,13848,50,1701 nt,
2018,,20,13849,22,9521 nt,
2018,Nov.,1,13850,50,1701 nt,
2018,,27,13851,50,1701 nt,
2018,Dec.,12,13853,42,5301 nt,Elim.
2018,,21,13855,43,1748b nt,
2018,,28,13856,5,5332 nt,Elim.
2019,Jan.,25,13857,50,1701 nts,
2019,,31,13858,41,8301 nt,
2019,Feb.,11,13859,42,6601 nt,
2019,Mar.,4,13860,10,2015 nt,
2019,,6,13862,50,3001 nt,
2019,,15,13863,50,1701 nt,
2019,,21,13864,20,1001 nt,
2019,,26,13865,6,195f nt,
2019,,28,13866,5,5332 nt,Elim.
2019,Apr.,10,13867,3,301 nt,
2019,,,13868,42,13201 nt,Elim.
2019,,24,13869,10,1564 nt,
2019,May,2,13870,6,nt. prec. 1500,
2019,,8,13871,50,1701 nt,
2019,,13,13872,15,1501 nt,Elim.
2019,,15,13873,50,1701 nt,
2019,June,11,13874,7,3121 nt,
2019,,14,13875,5 App.,,Elim.
2019,,24,13876,50,1701 nt,
2019,,,13877,42,18001 nt,
2019,,25,13878,42,12705a nt,
2019,July,10,13879,42,280g-6 nt,
2019,,11,13880,13,141 nt,Elim.
2019,,15,13881,41,8301 nt,
2019,,26,13882,50,1701 nt,
2019,Aug.,1,13883,22,5605 nt,
2019,,5,13884,50,1701 nt,
2019,,30,13885,15,8814 nt,Elim.
2019,Sept.,9,13886,50,1701 nts,
2019,,19,13887,42,247d-7e nt,
2019,,26,13888,8,1522 nt,Elim.
2019,,27,13889,5,1013 nt,Elim.
2019,Oct.,3,13890,42,nt. prec. 1395,
2019,,9,13891,5,601 nt,Elim.
2019,,,13892,5,551 nt,Elim.
2019,,10,13893,5,601 nt,Elim.
2019,,14,13894,50,1701 nt,
2019,,22,13895,42,6601 nt,Elim.
2019,,31,13897,41,6703 nt,Elim.
2019,Nov.,26,13898,25,2801 nt,
2019,Dec.,11,13899,42,2000d nt,
2019,,26,13901,5,5332 nt,Elim.
2020,Jan.,10,13902,50,1701 nt,
2020,,31,13903,34,20701 nt,
2020,,,13904,19,4301 nt,
2020,Feb.,12,13905,6,651 nt,
2020,,13,13906,51,20111 nt,Elim.
2020,,28,13907,19,4711 nt,
2020,,,13908,19,4532 nt,
2020,Mar.,18,13909,50,4511 nt,
2020,,23,13910,50,4512 nt,
2020,,27,13911,50,4511 nt,
2020,,,13912,10,12302 nt,
2020,Apr.,4,13913,47,154 nt,
2020,,6,13914,51,51302 nt,
2020,,14,13915,5,3345 nt,
2020,,18,13916,19,1318 nt,
2020,,28,13917,50,4511 nt,
2020,,,13918,19,4641 nt,
2020,,30,13919,10,12304 nt,
2020,May,1,13920,50,1621 nt,
2020,,7,13921,16,1801 nt,
2020,,14,13922,50,4532 nt,
2020,,15,13923,19,4681 nt,
2020,,19,13924,5,601 nt,Elim.
2020,,28,13925,47,230 nt,Elim.
2020,June,2,13926,22,6401 nt,
2020,,4,13927,5,601 nt,Elim.
2020,,11,13928,50,1701 nt,Elim.
2020,,16,13929,34,nt. prec. 50101,Elim.
2020,,24,13930,42,670 nt,
2020,,26,13931,29,3101 nt,Elim.
2020,,,13932,5,3301 nt,
2020,,,13933,34,nt. prec. 60101,Elim.
2020,July,3,13934,54,300101 nt,Elim.
2020,,9,13935,20,3411 nt,Elim.
2020,,14,13936,22,5701 nt,
2020,,24,13937,42,254b nt,
2020,,,13938,21,384 nt,
2020,,,13939,42,1320a-7b nt,
2020,,,13947,42,1395u nt,Elim.
2020,Aug.,3,13940,8,1182 nt,
2020,,,13941,42,254c nt,
2020,,6,13942,50,1701 nt,Elim.
2020,,,13943,50,1701 nt,Elim.
2020,,,13944,42,247d-6b nt,
2020,,8,13945,15,9056 nt,
2020,,24,13946,40,121 nt,
2020,,,,40,3306 nt,
2020,Sept.,13,13948,42,1395u nt,
2020,,21,13949,50,1701 nt,
2020,,22,13950,5,4103 nt,Elim.
2020,,24,13951,42,18001 nt,
2020,,25,13952,42,1395dd nt,
2020,,30,13953,30,1601 nt,
2020,Oct.,3,13954,42,290aa nt,
2020,,13,13955,16,2101 nt,
2020,,,13956,42,1962 nt,
2020,,21,13957,5,3301 nt,Elim.
2020,Nov.,2,13958,20,3411 nt,Elim.
2020,,12,13959,50,1701 nt,
2020,Dec.,3,13960,40,11301 nt,
2020,,7,13961,42,5195 nt,
2020,,8,13962,42,247d-6b nt,
2020,,10,13963,5,3345 nt,
2020,,,13964,22,2401 nt,Elim.
2020,,14,13966,5,601 nt,
2020,,18,13967,40,3101 nt,Elim.
2020,,,13968,31,3105 nt,
2020,,28,13969,42,9901 nt,
2020,,31,13970,5,5332 nt,Elim.
2021,Jan.,5,13971,50,1701 nt,Elim.
2021,,,13972,10,2911 nt,
2021,,8,13973,5,3345 nt,
2021,,13,13974,50,1701 nt,Elim.
2021,,14,13975,39,401 nt,Elim.
2021,,,13976,43,1748b nt,
2021,,18,13977,28,566 nt,
2021,,,13978,54,300101 nt,Elim.
2021,,,13979,5,551 nt,Elim.
2021,,,13980,5,601 nt,Elim.
2021,,,13981,41,nt. prec. 3901,
2021,,19,13983,5,7301 nt,
2021,,,13984,15,7421 nt,
2021,,20,13985,5,601 nt,
2021,,,13986,13,141 nt,
2021,,,13987,42,247d nt,
2021,,,13988,42,2000e nt,
2021,,,13989,5,7301 nt,
2021,,,13990,42,4321 nt,
2021,,,13991,42,247d nt,
2021,,,13992,5,551 nt,
2021,,,13993,8,1103 nt,
2021,,21,13994,42,247d nt,
2021,,,13995,42,247d nt,
2021,,,13996,42,247d nt,
2021,,,13997,42,247d nt,
2021,,,13998,42,247d nt,
2021,,,13999,42,247d nt,
2021,,,14000,42,247d nt,
2021,,,14001,42,247d-6b nt,
2021,,22,14002,15,9001 nt,
2021,,,14003,5,3301 nt,
2021,,25,14004,10,nt. prec. 651,
2021,,,14005,41,8301 nt,
2021,,26,14006,18,4013 nt,
2021,,27,14007,42,6601 nt,
2021,,,14008,42,4321 nt,
2021,,28,14009,42,18001 nt,
2021,Feb.,2,14010,8,1103 nt,
2021,,,14011,8,1103 nt,
2021,,,14012,8,1103 nt,
2021,,4,14013,8,1157 nt,
2021,,10,14014,50,1701 nt,
2021,,14,14015,3,nt. prec. 101,
2021,,17,14016,29,50 nt,
2021,,24,14018,5,551 nt,
2021,,,,5,601 nts,
2021,,,,5,7103 nt,
2021,,,,12,5301 nt,
2021,,,,40,3101 nt,
2021,Mar.,7,14019,52,nt. prec. 20101,
2021,,8,14020,42,2000e nt,
2021,,,14021,20,1681 nt,
2021,Apr.,1,14022,50,1701 nt,
2021,,15,14024,50,1701 nt,
2021,,26,14025,29,141 nt,
2021,,27,14026,41,nt. prec. 6301,
2021,May,7,14027,22,7901 nt,
2021,,12,14028,44,3551 nt,
2021,,14,14029,5,601 nt,
2021,,,,5,3301 nt,
2021,,,,22,2401 nt,
2021,,,,34,nt. prec. 60101,
2021,,,,47,230 nt,
2021,,,,54,300101 nts,
2021,,20,14030,15,2901 nt,
2021,,28,14031,42,3501 nt,
2021,June,3,14032,50,1701 nts,
2021,,8,14033,50,1701 nt,
2021,,9,14034,50,1701 nt,
2021,,25,14035,42,2000e nt,
2021,July,9,14036,15,1 nt,
2021,Aug.,5,14037,42,7521 nt,
2021,,9,14038,50,1701 nt,
2021,,20,14039,22,9526 nt,
2021,Sept.,3,14040,50,3161 nt,
2021,,,14041,20,1060 nt,
2021,,9,14042,41,nt. prec. 6301,Elim.
2021,,,14043,5,7301 nt,Elim.
2021,,13,14044,42,6601 nt,
2021,,,14045,20,3411 nt,
2021,,17,14046,50,1701 nt,
2021,,,14047,42,264 nt,
2021,,30,14048,5,1013 nt,
2021,Oct.,11,14049,20,7401 nt,
2021,,19,14050,20,3411 nt,
2021,,31,14051,50,98 nt,
2021,Nov.,15,14052,23,101 nt,
2021,,,14053,25,2801 nt,
2021,,18,14054,50,1701 nt,
2021,,,14055,41,6703 nt,
2021,Dec.,1,14056,51,20111 nt,
2021,,8,14057,42,4321 nt,
2021,,13,14058,31,501 nt,
2021,,15,14059,50,1701 nt,
2021,,,14060,50,3021 nt,
2021,,22,14061,5,5332 nt,Elim.
2022,Feb.,4,14063,41,nt. prec. 3901,
2022,,11,14064,50,1701 nt,
2022,,21,14065,50,1701 nt,
2022,Mar.,8,14066,50,1701 nt,
2022,,9,14067,31,5101 nt,
2022,,11,14068,50,1701 nt,
2022,,15,14069,41,6301 nt,
2022,Apr.,5,14070,42,18001 nt,
2022,,6,14071,50,1701 nt,
2022,,22,14072,16,6501 nt,
2022,May,4,14073,15,8814 nt,
2022,,25,14074,34,nt. prec. 10101,
2022,June,15,14075,5,601 nt,
2022,July,8,14076,42,300 nt,
2022,,19,14078,22,nt. prec. 1741,
2022,Aug.,3,14079,42,300 nt,
2022,,25,14080,15,4651 nt,
2022,Sept.,12,14081,42,19131 nt,
2022,,,14082,26,1 nt,
2022,,15,14083,50,4565 nt,
2022,,30,14084,20,9102 nt,
2022,Oct.,3,14085,10,nts. prec. 1121,
2022,,,,10,1125 nt,
2022,,,,10,7276 nt,
2022,,7,14086,50,3001 nt,
2022,,24,14088,50,1701 nt,
2022,Dec.,13,14089,22,2656 nt,
2022,,23,14090,5,5332 nt,Elim.
2023,Feb.,16,14091,5,601 nt,
2023,Mar.,14,14092,18,921 nt,
2023,,27,14093,50,3232a nt,
2023,Apr.,6,14094,5,601 nt,
2023,,18,14095,42,3030s nt,
2023,,21,14096,42,4321 nt,
2023,,27,14097,10,12302 nt,
2023,May,4,14098,50,1701 nt,
2023,,9,14099,5,7301 nt,
2023,,,,41,nt. prec. 6301,
2023,June,9,14100,5,3330d nt,
2023,,23,14101,42,300 nt,
2023,July,13,14102,10,12302 nt,
2023,,28,14103,10,801 nt,
2023,,,14104,41,8301 nt,
2023,Aug.,9,14105,50,1701 nt,
2023,,14,14106,14,2101 nt,
2023,Sept.,29,14109,5,1013 nt,
2023,Oct.,30,14110,15,9401 nt,
2023,Nov.,27,14111,40,121 nt,
2023,Dec.,6,14112,25,5301 nt,
2023,,21,14113,5,5332 nt,
2023,,22,14144,50,1701 nts,
