plan,coverage,stat_volume,stat_page,usc_title,usc_section,status
1978 Plan No. 4,All,92,3790,29,1001 nt,
1979 Plan No. 1,All,93,1373,5 App.,,
1979 Plan No. 1,All,93,1373,15,719e nt,
1979 Plan No. 2,All,93,1378,5 App.,,Rep.
1979 Plan No. 2,All,93,1378,22,2381 nt,Rep.
1979 Plan No. 3,All,93,1381,5 App.,,
1979 Plan No. 3,All,93,1381,19,2171 nt,
1980 Plan No. 1,All,94,3585,5 App.,,
1980 Plan No. 1,All,94,3585,42,5841 nt,
2002 Homeland Security,All,,,6,542 nt,
2003 Homeland Security,All,,,6,542 nt,
