act_id,act_base,congress,stat_volume,date_text,year,act_section,stat_page,us_title,us_section,status,source_file
,1946_658,,,,1946,,,,,local act file not found,
,1946_2,,,,1946,,,,,local act file not found,
,1946_3,,,,1946,,,,,local act file not found,
,1946_4,,,,1946,,,,,local act file not found,
,1946_5,,,,1946,,,,,local act file not found,
,1946_6,,,,1946,,,,,local act file not found,
,1946_30,,,,1946,,,,,local act file not found,
,1946_31,,,,1946,,,,,local act file not found,
,1946_32,,,,1946,,,,,local act file not found,
,1946_33,,,,1946,,,,,local act file not found,
,1946_34,,,,1946,,,,,local act file not found,
,1946_35,,,,1946,,,,,local act file not found,
,1946_36,,,,1946,,,,,local act file not found,
,1946_48,,,,1946,,,,,local act file not found,
,1946_49,,,,1946,,,,,local act file not found,
,1946_50,,,,1946,,,,,local act file not found,
,1946_52,,,,1946,,,,,local act file not found,
,1946_57,,,,1946,,,,,local act file not found,
,1946_58,,,,1946,,,,,local act file not found,
,1946_80,,,,1946,,,,,local act file not found,
,1946_81,,,,1946,,,,,local act file not found,
,1946_82,,,,1946,,,,,local act file not found,
,1946_83,,,,1946,,,,,local act file not found,
,1946_104,,,,1946,,,,,local act file not found,
,1946_106,,,,1946,,,,,local act file not found,
,1946_112,,,,1946,,,,,local act file not found,
,1946_113,,,,1946,,,,,local act file not found,
,1946_118,,,,1946,,,,,local act file not found,
,1946_120,,,,1946,,,,,local act file not found,
,1946_121,,,,1946,,,,,local act file not found,
,1946_135,,,,1946,,,,,local act file not found,
,1946_138,,,,1946,,,,,local act file not found,
,1946_139,,,,1946,,,,,local act file not found,
,1946_140,,,,1946,,,,,local act file not found,
,1946_141,,,,1946,,,,,local act file not found,
,1946_142,,,,1946,,,,,local act file not found,
,1946_199,,,,1946,,,,,local act file not found,
,1946_202,,,,1946,,,,,local act file not found,
,1946_240,,,,1946,,,,,local act file not found,
,1946_242,,,,1946,,,,,local act file not found,
,1946_243,,,,1946,,,,,local act file not found,
,1946_244,,,,1946,,,,,local act file not found,
,1946_247,,,,1946,,,,,local act file not found,
,1946_248,,,,1946,,,,,local act file not found,
,1946_251,,,,1946,,,,,local act file not found,
,1946_253,,,,1946,,,,,local act file not found,
,1946_258,,,,1946,,,,,local act file not found,
,1946_260,,,,1946,,,,,local act file not found,
,1946_261,,,,1946,,,,,local act file not found,
,1946_263,,,,1946,,,,,local act file not found,
,1946_265,,,,1946,,,,,local act file not found,
,1946_268,,,,1946,,,,,local act file not found,
,1946_269,,,,1946,,,,,local act file not found,
,1946_270,,,,1946,,,,,local act file not found,
,1946_271,,,,1946,,,,,local act file not found,
,1946_278,,,,1946,,,,,local act file not found,
,1946_280,,,,1946,,,,,local act file not found,
,1946_281,,,,1946,,,,,local act file not found,
,1946_284,,,,1946,,,,,local act file not found,
,1946_298,,,,1946,,,,,local act file not found,
,1946_324,,,,1946,,,,,local act file not found,
,1946_325,,,,1946,,,,,local act file not found,
,1946_327,,,,1946,,,,,local act file not found,
,1946_377,,,,1946,,,,,local act file not found,
,1946_379,,,,1946,,,,,local act file not found,
,1946_404,,,,1946,,,,,local act file not found,
,1946_413,,,,1946,,,,,local act file not found,
,1946_445,,,,1946,,,,,local act file not found,
,1946_447,,,,1946,,,,,local act file not found,
,1946_448,,,,1946,,,,,local act file not found,
,1946_459,,,,1946,,,,,local act file not found,
,1946_463,,,,1946,,,,,local act file not found,
,1946_465,,,,1946,,,,,local act file not found,
,1946_469,,,,1946,,,,,local act file not found,
,1946_472,,,,1946,,,,,local act file not found,
,1946_474,,,,1946,,,,,local act file not found,
,1946_487,,,,1946,,,,,local act file not found,
,1946_493,,,,1946,,,,,local act file not found,
,1946_494,,,,1946,,,,,local act file not found,
,1946_495,,,,1946,,,,,local act file not found,
,1946_498,,,,1946,,,,,local act file not found,
,1946_500,,,,1946,,,,,local act file not found,
,1946_501,,,,1946,,,,,local act file not found,
,1946_502,,,,1946,,,,,local act file not found,
,1946_505,,,,1946,,,,,local act file not found,
,1946_512,,,,1946,,,,,local act file not found,
,1946_514,,,,1946,,,,,local act file not found,
,1946_519,,,,1946,,,,,local act file not found,
,1946_520,,,,1946,,,,,local act file not found,
,1946_522,,,,1946,,,,,local act file not found,
,1946_523,,,,1946,,,,,local act file not found,
,1946_526,,,,1946,,,,,local act file not found,
,1946_527,,,,1946,,,,,local act file not found,
,1946_528,,,,1946,,,,,local act file not found,
,1946_529,,,,1946,,,,,local act file not found,
,1946_530,,,,1946,,,,,local act file not found,
,1946_531,,,,1946,,,,,local act file not found,
,1946_532,,,,1946,,,,,local act file not found,
,1946_533,,,,1946,,,,,local act file not found,
,1946_534,,,,1946,,,,,local act file not found,
,1946_536,,,,1946,,,,,local act file not found,
,1946_537,,,,1946,,,,,local act file not found,
,1946_538,,,,1946,,,,,local act file not found,
,1946_539,,,,1946,,,,,local act file not found,
,1946_540,,,,1946,,,,,local act file not found,
,1946_541,,,,1946,,,,,local act file not found,
,1946_543,,,,1946,,,,,local act file not found,
,1946_544,,,,1946,,,,,local act file not found,
,1946_545,,,,1946,,,,,local act file not found,
,1946_546,,,,1946,,,,,local act file not found,
,1946_547,,,,1946,,,,,local act file not found,
,1946_548,,,,1946,,,,,local act file not found,
,1946_549,,,,1946,,,,,local act file not found,
,1946_555,,,,1946,,,,,local act file not found,
,1946_569,,,,1946,,,,,local act file not found,
,1946_570,,,,1946,,,,,local act file not found,
,1946_574,,,,1946,,,,,local act file not found,
,1946_577,,,,1946,,,,,local act file not found,
,1946_578,,,,1946,,,,,local act file not found,
,1946_579,,,,1946,,,,,local act file not found,
,1946_580,,,,1946,,,,,local act file not found,
,1946_583,,,,1946,,,,,local act file not found,
,1946_587,,,,1946,,,,,local act file not found,
,1946_588,,,,1946,,,,,local act file not found,
,1946_589,,,,1946,,,,,local act file not found,
,1946_590,,,,1946,,,,,local act file not found,
,1946_591,,,,1946,,,,,local act file not found,
,1946_592,,,,1946,,,,,local act file not found,
,1946_596,,,,1946,,,,,local act file not found,
,1946_600,,,,1946,,,,,local act file not found,
,1946_601,,,,1946,,,,,local act file not found,
,1946_602,,,,1946,,,,,local act file not found,
,1946_604,,,,1946,,,,,local act file not found,
,1946_605,,,,1946,,,,,local act file not found,
,1946_606,,,,1946,,,,,local act file not found,
,1946_608,,,,1946,,,,,local act file not found,
,1946_610,,,,1946,,,,,local act file not found,
,1946_612,,,,1946,,,,,local act file not found,
,1946_616,,,,1946,,,,,local act file not found,
,1946_617,,,,1946,,,,,local act file not found,
,1946_642,,,,1946,,,,,local act file not found,
,1946_643,,,,1946,,,,,local act file not found,
,1946_671,,,,1946,,,,,local act file not found,
,1946_672,,,,1946,,,,,local act file not found,
,1946_673,,,,1946,,,,,local act file not found,
,1946_675,,,,1946,,,,,local act file not found,
,1946_677,,,,1946,,,,,local act file not found,
,1946_682,,,,1946,,,,,local act file not found,
,1946_684,,,,1946,,,,,local act file not found,
,1946_685,,,,1946,,,,,local act file not found,
,1946_694,,,,1946,,,,,local act file not found,
,1946_698,,,,1946,,,,,local act file not found,
,1946_700,,,,1946,,,,,local act file not found,
,1946_704,,,,1946,,,,,local act file not found,
,1946_707,,,,1946,,,,,local act file not found,
,1946_708,,,,1946,,,,,local act file not found,
,1946_709,,,,1946,,,,,local act file not found,
,1946_710,,,,1946,,,,,local act file not found,
,1946_711,,,,1946,,,,,local act file not found,
,1946_712,,,,1946,,,,,local act file not found,
,1946_714,,,,1946,,,,,local act file not found,
,1946_717,,,,1946,,,,,local act file not found,
,1946_718,,,,1946,,,,,local act file not found,
,1946_719,,,,1946,,,,,local act file not found,
,1946_720,,,,1946,,,,,local act file not found,
,1946_721,,,,1946,,,,,local act file not found,
,1946_723,,,,1946,,,,,local act file not found,
,1946_724,,,,1946,,,,,local act file not found,
,1946_725,,,,1946,,,,,local act file not found,
,1946_726,,,,1946,,,,,local act file not found,
,1946_727,,,,1946,,,,,local act file not found,
,1946_728,,,,1946,,,,,local act file not found,
,1946_729,,,,1946,,,,,local act file not found,
,1946_735,,,,1946,,,,,local act file not found,
,1946_739,,,,1946,,,,,local act file not found,
,1946_740,,,,1946,,,,,local act file not found,
,1946_741,,,,1946,,,,,local act file not found,
,1946_742,,,,1946,,,,,local act file not found,
,1946_743,,,,1946,,,,,local act file not found,
,1946_744,,,,1946,,,,,local act file not found,
,1946_753,,,,1946,,,,,local act file not found,
,1946_754,,,,1946,,,,,local act file not found,
,1946_756,,,,1946,,,,,local act file not found,
,1946_759,,,,1946,,,,,local act file not found,
,1946_764,,,,1946,,,,,local act file not found,
,1946_768,,,,1946,,,,,local act file not found,
,1946_769,,,,1946,,,,,local act file not found,
,1946_770,,,,1946,,,,,local act file not found,
,1946_771,,,,1946,,,,,local act file not found,
,1946_772,,,,1946,,,,,local act file not found,
,1946_774,,,,1946,,,,,local act file not found,
,1946_775,,,,1946,,,,,local act file not found,
,1946_777,,,,1946,,,,,local act file not found,
,1946_782,,,,1946,,,,,local act file not found,
,1946_783,,,,1946,,,,,local act file not found,
,1946_785,,,,1946,,,,,local act file not found,
,1946_786,,,,1946,,,,,local act file not found,
,1946_787,,,,1946,,,,,local act file not found,
,1946_788,,,,1946,,,,,local act file not found,
,1946_789,,,,1946,,,,,local act file not found,
,1946_790,,,,1946,,,,,local act file not found,
,1946_791,,,,1946,,,,,local act file not found,
,1946_796,,,,1946,,,,,local act file not found,
,1946_802,,,,1946,,,,,local act file not found,
,1946_804,,,,1946,,,,,local act file not found,
,1946_805,,,,1946,,,,,local act file not found,
,1946_809,,,,1946,,,,,local act file not found,
,1946_811,,,,1946,,,,,local act file not found,
,1946_864,,,,1946,,,,,local act file not found,
,1946_865,,,,1946,,,,,local act file not found,
,1946_866,,,,1946,,,,,local act file not found,
,1946_867,,,,1946,,,,,local act file not found,
,1946_868,,,,1946,,,,,local act file not found,
,1946_869,,,,1946,,,,,local act file not found,
,1946_870,,,,1946,,,,,local act file not found,
,1946_872,,,,1946,,,,,local act file not found,
,1946_876,,,,1946,,,,,local act file not found,
,1946_877,,,,1946,,,,,local act file not found,
,1946_878,,,,1946,,,,,local act file not found,
,1946_879,,,,1946,,,,,local act file not found,
,1946_880,,,,1946,,,,,local act file not found,
,1946_883,,,,1946,,,,,local act file not found,
,1946_884,,,,1946,,,,,local act file not found,
,1946_904,,,,1946,,,,,local act file not found,
,1946_905,,,,1946,,,,,local act file not found,
,1946_907,,,,1946,,,,,local act file not found,
,1946_908,,,,1946,,,,,local act file not found,
,1946_909,,,,1946,,,,,local act file not found,
,1946_910,,,,1946,,,,,local act file not found,
,1946_911,,,,1946,,,,,local act file not found,
,1946_912,,,,1946,,,,,local act file not found,
,1946_915,,,,1946,,,,,local act file not found,
,1946_916,,,,1946,,,,,local act file not found,
,1946_917,,,,1946,,,,,local act file not found,
,1946_918,,,,1946,,,,,local act file not found,
,1946_928,,,,1946,,,,,local act file not found,
,1946_929,,,,1946,,,,,local act file not found,
,1946_930,,,,1946,,,,,local act file not found,
,1946_931,,,,1946,,,,,local act file not found,
,1946_932,,,,1946,,,,,local act file not found,
,1946_933,,,,1946,,,,,local act file not found,
,1946_934,,,,1946,,,,,local act file not found,
,1946_935,,,,1946,,,,,local act file not found,
,1946_936,,,,1946,,,,,local act file not found,
,1946_945,,,,1946,,,,,local act file not found,
,1946_948,,,,1946,,,,,local act file not found,
,1946_949,,,,1946,,,,,local act file not found,
,1946_950,,,,1946,,,,,local act file not found,
,1946_951,,,,1946,,,,,local act file not found,
,1946_952,,,,1946,,,,,local act file not found,
,1946_954,,,,1946,,,,,local act file not found,
,1946_955,,,,1946,,,,,local act file not found,
,1946_957,,,,1946,,,,,local act file not found,
,1946_958,,,,1946,,,,,local act file not found,
,1946_959,,,,1946,,,,,local act file not found,
,1946_960,,,,1946,,,,,local act file not found,
,1946_961,,,,1946,,,,,local act file not found,
,1946_962,,,,1946,,,,,local act file not found,
,1946_963,,,,1946,,,,,local act file not found,
,1946_964,,,,1946,,,,,local act file not found,
,1946_965,,,,1946,,,,,local act file not found,
,1946_966,,,,1946,,,,,local act file not found,
