act_id,act_base,congress,stat_volume,date_text,year,act_section,stat_page,us_title,us_section,status,source_file
,113_74,,,,2014,,,,,local act file not found,
,113_76,,,,2014,,,,,local act file not found,
,113_77,,,,2014,,,,,local act file not found,
,113_78,,,,2014,,,,,local act file not found,
,113_79,,,,2014,,,,,local act file not found,
,113_80,,,,2014,,,,,local act file not found,
,113_81,,,,2014,,,,,local act file not found,
,113_82,,,,2014,,,,,local act file not found,
,113_83,,,,2014,,,,,local act file not found,
,113_86,,,,2014,,,,,local act file not found,
,113_87,,,,2014,,,,,local act file not found,
,113_89,,,,2014,,,,,local act file not found,
,113_93,,,,2014,,,,,local act file not found,
,113_94,,,,2014,,,,,local act file not found,
,113_95,,,,2014,,,,,local act file not found,
,113_96,,,,2014,,,,,local act file not found,
,113_97,,,,2014,,,,,local act file not found,
,113_98,,,,2014,,,,,local act file not found,
,113_100,,,,2014,,,,,local act file not found,
,113_101,,,,2014,,,,,local act file not found,
,113_104,,,,2014,,,,,local act file not found,
,113_105,,,,2014,,,,,local act file not found,
,113_106,,,,2014,,,,,local act file not found,
,113_108,,,,2014,,,,,local act file not found,
,113_109,,,,2014,,,,,local act file not found,
,113_114,,,,2014,,,,,local act file not found,
,113_116,,,,2014,,,,,local act file not found,
,113_118,,,,2014,,,,,local act file not found,
,113_119,,,,2014,,,,,local act file not found,
,113_120,,,,2014,,,,,local act file not found,
,113_121,,,,2014,,,,,local act file not found,
,113_123,,,,2014,,,,,local act file not found,
,113_124,,,,2014,,,,,local act file not found,
,113_125,,,,2014,,,,,local act file not found,
,113_126,,,,2014,,,,,local act file not found,
,113_128,,,,2014,,,,,local act file not found,
,113_132,,,,2014,,,,,local act file not found,
,113_137,,,,2014,,,,,local act file not found,
,113_143,,,,2014,,,,,local act file not found,
,113_144,,,,2014,,,,,local act file not found,
113–146,113_146,113th Cong.,128 Stat.,"Aug. 7, 2014",2014,1(a),1754,38,101 nt,Elim.,113_146_20250926_173758.html
113–146,113_146,113th Cong.,128 Stat.,"Aug. 7, 2014",2014,2,1755,38,1701 nt,,113_146_20250926_173758.html
113–146,113_146,113th Cong.,128 Stat.,"Aug. 7, 2014",2014,101-106,1755-1768,38,1701 nt,,113_146_20250926_173758.html
113–146,113_146,113th Cong.,128 Stat.,"Aug. 7, 2014",2014,104,1766,38,1703 nt,,113_146_20250926_173758.html
113–146,113_146,113th Cong.,128 Stat.,"Aug. 7, 2014",2014,201-209,1769-1783,38,1701 nt,,113_146_20250926_173758.html
113–146,113_146,113th Cong.,128 Stat.,"Aug. 7, 2014",2014,301(a)(1),1784,38,7412,,113_146_20250926_173758.html
113–146,113_146,113th Cong.,128 Stat.,"Aug. 7, 2014",2014,301(a)(2),1784,38,prec. 7401,,113_146_20250926_173758.html
113–146,113_146,113th Cong.,128 Stat.,"Aug. 7, 2014",2014,301(a)(3),1784,38,7412 nt,,113_146_20250926_173758.html
113–146,113_146,113th Cong.,128 Stat.,"Aug. 7, 2014",2014,301(b)(1),1784,38,7302,,113_146_20250926_173758.html
113–146,113_146,113th Cong.,128 Stat.,"Aug. 7, 2014",2014,301(b)(2),1785,38,7302 nt,,113_146_20250926_173758.html
113–146,113_146,113th Cong.,128 Stat.,"Aug. 7, 2014",2014,301(c),1786,38,7612,,113_146_20250926_173758.html
113–146,113_146,113th Cong.,128 Stat.,"Aug. 7, 2014",2014,302(a),1788,38,7619,,113_146_20250926_173758.html
113–146,113_146,113th Cong.,128 Stat.,"Aug. 7, 2014",2014,302(b),1788,38,7683,,113_146_20250926_173758.html
113–146,113_146,113th Cong.,128 Stat.,"Aug. 7, 2014",2014,303,1788,38,703 nt,,113_146_20250926_173758.html
113–146,113_146,113th Cong.,128 Stat.,"Aug. 7, 2014",2014,401-402(c),"1789, 1790",38,1720D,,113_146_20250926_173758.html
113–146,113_146,113th Cong.,128 Stat.,"Aug. 7, 2014",2014,402(d),1790,38,1720D nt,,113_146_20250926_173758.html
113–146,113_146,113th Cong.,128 Stat.,"Aug. 7, 2014",2014,501,1792,38,1710C nt,,113_146_20250926_173758.html
113–146,113_146,113th Cong.,128 Stat.,"Aug. 7, 2014",2014,602,1794,38,8104 nt,,113_146_20250926_173758.html
113–146,113_146,113th Cong.,128 Stat.,"Aug. 7, 2014",2014,602(c),1794,38,8104,,113_146_20250926_173758.html
