act_id,act_base,congress,stat_volume,date_text,year,act_section,stat_page,us_title,us_section,status,source_file
,1792_8,,,,,1,239,,,R.S. Sec 131,1792_8_20250926_180938.html
,1792_8,,,,,1,239,,,R.S. Sec 132,1792_8_20250926_180938.html
,1792_8,,,,,2,239,,,R.S. Sec 135,1792_8_20250926_180938.html
,1792_8,,,,,2,239,,,R.S. Sec 138,1792_8_20250926_180938.html
,1792_8,,,,,2,239,,,R.S. Sec 139,1792_8_20250926_180938.html
,1792_8,,,,,2,239,,,R.S. Sec 140,1792_8_20250926_180938.html
,1792_8,,,,,3,240,,,R.S. Sec 136,1792_8_20250926_180938.html
,1792_8,,,,,3,240,,,R.S. Sec 138,1792_8_20250926_180938.html
,1792_8,,,,,4,240,,,R.S. Sec 141,1792_8_20250926_180938.html
,1792_8,,,,,5,240,,,R.S. Sec 142,1792_8_20250926_180938.html
,1792_8,,,,,6,240,,,R.S. Sec 143,1792_8_20250926_180938.html
,1792_8,,,,,7,240,,,R.S. Sec 144,1792_8_20250926_180938.html
,1792_8,,,,,8,240,,,R.S. Sec 145,1792_8_20250926_180938.html
,1792_8,,,,,9,240,,,R.S. Sec 146,1792_8_20250926_180938.html
,1792_8,,,,,10,240,,,R.S. Sec 147,1792_8_20250926_180938.html
,1792_8,,,,,10,240,,,R.S. Sec 148,1792_8_20250926_180938.html
,1792_8,,,,,10,240,,,R.S. Sec 149,1792_8_20250926_180938.html
,1792_8,,,,,10,240,,,R.S. Sec 150,1792_8_20250926_180938.html
,1792_8,,,,,11,241,,,R.S. Sec 151,1792_8_20250926_180938.html
,1792_8,,,,,12,241,,,R.S. Sec 152,1792_8_20250926_180938.html
,1792_16,,,,,20,250,,,R.S. Sec 8563,1792_16_20250926_180938.html
,1792_20,,,,,,252,,,R.S. Sec 73,1792_20_20250926_180938.html
,1792_21,,,,,2,253,,,R.S. Sec 658,1792_21_20250926_180938.html
,1792_24,,,,,2,255,,,R.S. Sec 1707,1792_24_20250926_180938.html
,1792_24,,,,,2,255,,,R.S. Sec 1709,1792_24_20250926_180938.html
,1792_24,,,,,2,255,,,R.S. Sec 1710,1792_24_20250926_180938.html
,1792_24,,,,,2,255,,,R.S. Sec 3689,1792_24_20250926_180938.html
,1792_24,,,,,3,255,,,R.S. Sec 4238,1792_24_20250926_180938.html
,1792_24,,,,,6,256,,,R.S. Sec 1698,1792_24_20250926_180938.html
,1792_24,,,,,9,257,,,R.S. Sec 1714,1792_24_20250926_180938.html
,1792_33,,,,,1,271,,,R.S. Sec 1625,1792_33_20250926_180938.html
,1792_33,,,,,1,271,,,R.S. Sec 1626,1792_33_20250926_180938.html
,1792_33,,,,,1,271,,,R.S. Sec 1627,1792_33_20250926_180938.html
,1792_33,,,,,1,271,,,R.S. Sec 1628,1792_33_20250926_180938.html
,1792_33,,,,,2,272,,,R.S. Sec 1629,1792_33_20250926_180938.html
,1792_33,,,,,3,272,,,R.S. Sec 1630,1792_33_20250926_180938.html
,1792_33,,,,,3,272,,,R.S. Sec 1631,1792_33_20250926_180938.html
,1792_33,,,,,4,272,,,R.S. Sec 1632,1792_33_20250926_180938.html
,1792_33,,,,,5,273,,,R.S. Sec 1633,1792_33_20250926_180938.html
,1792_33,,,,,6,273,,,R.S. Sec 1634,1792_33_20250926_180938.html
,1792_33,,,,,6,273,,,R.S. Sec 1635,1792_33_20250926_180938.html
,1792_33,,,,,8,273,,,R.S. Sec 1638,1792_33_20250926_180938.html
,1792_33,,,,,9,273,,,R.S. Sec 1639,1792_33_20250926_180938.html
,1792_33,,,,,10,273,,,R.S. Sec 1640,1792_33_20250926_180938.html
,1792_33,,,,,11,274,,,R.S. Sec 1641,1792_33_20250926_180938.html
,1792_36,,,,,1,275,,,R.S. Sec 911,1792_36_20250926_180938.html
,1792_36,,,,,2,276,,,R.S. Sec 913,1792_36_20250926_180938.html
